Date,Price,Open,High,Low,Vol.,Change %
03/17/2021,3263.0,3300.0,3325.0,3263.0,50840000.0,-0.38%
03/16/2021,3275.0,3325.0,3363.0,3250.0,112250000.0,-1.50%
03/15/2021,3325.0,3388.0,3388.0,3313.0,79920000.0,-1.12%
03/12/2021,3363.0,3275.0,3375.0,3275.0,159200000.0,3.46%
03/10/2021,3250.0,3250.0,3250.0,3225.0,51900000.0,1.17%
03/09/2021,3213.0,3188.0,3263.0,3188.0,111840000.0,-50.00%
03/08/2021,6425.0,6550.0,6575.0,6375.0,27050000.0,-0.77%
03/05/2021,6475.0,6525.0,6575.0,6450.0,43620000.0,-1.15%
03/04/2021,6550.0,6625.0,6650.0,6525.0,60310000.0,-0.76%
03/03/2021,6600.0,6675.0,6675.0,6525.0,39270000.0,0.00%
03/02/2021,6600.0,6650.0,6650.0,6500.0,81650000.0,0.38%
03/01/2021,6575.0,6225.0,6600.0,6225.0,110390000.0,6.91%
02/26/2021,6150.0,6175.0,6325.0,6100.0,123100000.0,-1.99%
02/25/2021,6275.0,6425.0,6475.0,6275.0,66810000.0,-1.57%
02/24/2021,6375.0,6350.0,6400.0,6325.0,41250000.0,0.79%
02/23/2021,6325.0,6300.0,6375.0,6300.0,44550000.0,-0.78%
02/22/2021,6375.0,6450.0,6500.0,6375.0,53840000.0,0.00%
02/19/2021,6375.0,6250.0,6400.0,6200.0,51010000.0,2.00%
02/18/2021,6250.0,6250.0,6400.0,6225.0,56990000.0,-1.57%
02/17/2021,6350.0,6450.0,6475.0,6300.0,58710000.0,-1.93%
02/16/2021,6475.0,6500.0,6550.0,6450.0,31600000.0,-0.38%
02/15/2021,6500.0,6550.0,6575.0,6500.0,24500000.0,0.00%
02/11/2021,6500.0,6550.0,6550.0,6500.0,17940000.0,0.00%
02/10/2021,6500.0,6575.0,6575.0,6475.0,51350000.0,0.00%
02/09/2021,6500.0,6600.0,6700.0,6450.0,104190000.0,-1.14%
02/08/2021,6575.0,6600.0,6675.0,6550.0,62530000.0,0.38%
02/05/2021,6550.0,6700.0,6700.0,6450.0,48600000.0,-0.38%
02/04/2021,6575.0,6575.0,6675.0,6450.0,69520000.0,1.15%
02/03/2021,6500.0,6600.0,6650.0,6450.0,83520000.0,0.39%
02/02/2021,6475.0,6800.0,6800.0,6400.0,80240000.0,-3.36%
02/01/2021,6700.0,6650.0,6725.0,6200.0,121270000.0,1.90%
01/29/2021,6575.0,7100.0,7225.0,6575.0,167110000.0,-6.74%
01/28/2021,7050.0,7150.0,7250.0,6900.0,67870000.0,-3.42%
01/27/2021,7300.0,7400.0,7400.0,7175.0,85790000.0,-1.02%
01/26/2021,7375.0,7300.0,7450.0,7250.0,103360000.0,1.03%
01/25/2021,7300.0,7250.0,7300.0,7025.0,50320000.0,1.39%
01/22/2021,7200.0,7275.0,7350.0,7125.0,58680000.0,-0.69%
01/21/2021,7250.0,7375.0,7375.0,7200.0,41030000.0,-1.69%
01/20/2021,7375.0,7000.0,7450.0,7000.0,110470000.0,5.73%
01/19/2021,6975.0,7000.0,7025.0,6850.0,38920000.0,0.72%
01/18/2021,6925.0,6600.0,6950.0,6600.0,59500000.0,2.97%
01/15/2021,6725.0,6875.0,6925.0,6625.0,38620000.0,-1.82%
01/14/2021,6850.0,7050.0,7050.0,6825.0,35150000.0,-1.08%
01/13/2021,6925.0,7050.0,7075.0,6925.0,53700000.0,-0.36%
01/12/2021,6950.0,6900.0,7000.0,6825.0,84310000.0,1.46%
01/11/2021,6850.0,6575.0,6850.0,6550.0,106380000.0,4.58%
01/08/2021,6550.0,6475.0,6575.0,6450.0,46820000.0,1.16%
